Store,Assortment,CompetitionDistance,Promo2,PromoInterval,CompetitionOpenSince,Promo2Since,StoreType_a,StoreType_b,StoreType_c,StoreType_d
1,0,1270.0,0,,2008-09-01,,0,0,1,0
2,0,570.0,1,"Jan,Apr,Jul,Oct",2007-11-01,2010-03-29,1,0,0,0
3,0,14130.0,1,"Jan,Apr,Jul,Oct",2006-12-01,2011-04-04,1,0,0,0
4,2,620.0,0,,2009-09-01,,0,0,1,0
5,0,29910.0,0,,2015-04-01,,1,0,0,0
6,0,310.0,0,,2013-12-01,,1,0,0,0
7,2,24000.0,0,,2013-04-01,,1,0,0,0
8,0,7520.0,0,,2014-10-01,,1,0,0,0
9,2,2030.0,0,,2000-08-01,,1,0,0,0
10,0,3160.0,0,,2009-09-01,,1,0,0,0
11,2,960.0,1,"Jan,Apr,Jul,Oct",2011-11-01,2012-01-02,1,0,0,0
12,2,1070.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2010-03-29,1,0,0,0
13,0,310.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,0,0,0,1
14,0,1300.0,1,"Jan,Apr,Jul,Oct",2014-03-01,2011-10-03,1,0,0,0
15,2,4110.0,1,"Jan,Apr,Jul,Oct",2010-03-01,2011-04-04,0,0,0,1
16,2,3270.0,0,,2010-02-01,,1,0,0,0
17,0,50.0,1,"Jan,Apr,Jul,Oct",2005-12-01,2010-06-28,1,0,0,0
18,2,13840.0,1,"Jan,Apr,Jul,Oct",2010-06-01,2012-04-02,0,0,0,1
19,2,3240.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2011-05-30,1,0,0,0
20,0,2340.0,1,"Jan,Apr,Jul,Oct",2009-05-01,2014-10-06,0,0,0,1
21,2,550.0,1,"Jan,Apr,Jul,Oct",1999-10-01,2009-11-09,0,0,1,0
22,0,1040.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2012-05-28,1,0,0,0
23,0,4060.0,0,,2005-08-01,,0,0,0,1
24,2,4590.0,1,"Jan,Apr,Jul,Oct",2000-03-01,2011-10-03,1,0,0,0
25,0,430.0,0,,2003-04-01,,0,0,1,0
26,0,2300.0,0,,2010-02-01,,0,0,0,1
